store,Sum of longitude,Sum of latitude
"McDonalds PlayPlace-Simi Valley,CA",-356.15869,102.83276
"McDonalds PlayPlace-South El Monte,CA",-118.06416,34.06287
"McDonalds PlayPlace-South Gate,CA",-236.3778,67.89417
"McDonalds PlayPlace-South Lake Tahoe,CA",-120.003714,38.912135
"McDonalds PlayPlace-South Pasadena,CA",-118.150017,34.117416
"McDonalds PlayPlace-Spring Valley,CA",-117.0104,32.70529
"McDonalds PlayPlace-Stanton,CA",-117.996239,33.802921
"McDonalds PlayPlace-Stockton,CA",-242.61654,76.02379
"McDonalds PlayPlace-Sun City,CA",-117.19147,33.71416
"McDonalds PlayPlace-Sunland,CA",-118.30627,34.25951
"McDonalds PlayPlace-Susanville,CA",-120.636034,40.410556
"McDonalds PlayPlace-Sylmar,CA",-118.41712,34.29512
"McDonalds PlayPlace-Tehachapi,CA",-118.46796,35.12473
"McDonalds PlayPlace-Temecula,CA",-351.40955,100.51445
"McDonalds PlayPlace-Temple City,CA",-118.05608,34.1075
"McDonalds PlayPlace-Thousand Oaks,CA",-118.86809,34.2011
"McDonalds PlayPlace-Thousand Palms,CA",-116.4022,33.81733
"McDonalds PlayPlace-Torrance,CA",-355.02406,101.52537
"McDonalds PlayPlace-Tracy,CA",-242.88384,75.50075
"McDonalds PlayPlace-Tujunga,CA",-118.2739,34.24506
"McDonalds PlayPlace-Turlock,CA",-241.72095,75.00739
"McDonalds PlayPlace-Tustin,CA",-235.61905,67.47621
"McDonalds PlayPlace-Twentynine Palms,CA",-116.05426,34.13664
"McDonalds PlayPlace-Ukiah,CA",-123.19888,39.15182
"McDonalds PlayPlace-Upland,CA",-117.64948,34.10681
"McDonalds PlayPlace-Vacaville,CA",-243.96772,76.70469
"McDonalds PlayPlace-Vallejo,CA",-244.46486,76.22489
"McDonalds PlayPlace-Van Nuys,CA",-236.94983,68.39319
"McDonalds PlayPlace-Victorville,CA",-117.34593,34.50686
"McDonalds PlayPlace-Visalia,CA",-238.624555,72.638129
"McDonalds PlayPlace-Vista,CA",-234.480555,66.414873
"McDonalds PlayPlace-Watsonville,CA",-121.76957,36.93184
"McDonalds PlayPlace-Weed,CA",-122.379989,41.398372
"McDonalds PlayPlace-West Covina,CA",-235.77076,68.07447
"McDonalds PlayPlace-West Hills,CA",-118.64308,34.18866
"McDonalds PlayPlace-Whittier,CA",-472.16176,135.85784
"McDonalds PlayPlace-Williams,CA",-122.14644,39.15634
"McDonalds PlayPlace-Willits,CA",-123.349162,39.39482
"McDonalds PlayPlace-Windsor,CA",-122.816824,38.5415
"McDonalds PlayPlace-Woodland,CA",-121.75143,38.67711
"McDonalds PlayPlace-Yorba Linda,CA",-235.556212,67.761673
"McDonalds PlayPlace-Yreka,CA",-122.645181,41.703099
"McDonalds PlayPlace-Yuba City,CA",-243.284774,78.284618
"McDonalds PlayPlace-Yucaipa,CA",-117.07114,34.03417
"McDonalds PlayPlace-Yucca Valley,CA",-116.40743,34.12567
"McDonalds-Acton,CA",-118.1971,34.49299
"McDonalds-Agoura Hills,CA",-118.76018,34.14679
"McDonalds-Alameda,CA",-122.25385,37.75583
"McDonalds-Alhambra,CA",-118.13937,34.07743
"McDonalds-Alpine,CA",-116.706509,32.8409
"McDonalds-Altadena,CA",-118.09812,34.16861
"McDonalds-American Canyon,CA",-122.255439,38.18492
